obsid,designation,snrg,class,subclass,gaia_source_id,ra,dec,teff,teff_err,feh_err,feh,logg_err,logg,spectral_type,quality,Teff,Feh,Logg
1157109077,J021838.32+562950.3,62.46,STAR,A2,458315792665459712,34.6596845,56.4973177,10046.5,65.65,0.056,0.721,0.093,3.623,B9.5 III-IV  Si,good,10046.5¡À65.65,0.721¡À0.056,3.623¡À0.093
169315102,J042609.71+540650.5,110.43,STAR,A1,275452268629203456,66.540461,54.114033,10095.3,27.56,0.022,0.318,0.038,3.738,A0 III-IV  Si,vgood,10095.3¡À27.56,0.318¡À0.022,3.738¡À0.038
170807167,J065413.40+330001.7,64.02,STAR,A1,937566900880288000,103.55584,33.000494,10099.7,76.29,0.065,0.52,0.108,3.569,Unclassifiable,,10099.7¡À76.29,0.52¡À0.065,3.569¡À0.108
255308032,J213708.91+421717.7,59.45,STAR,A5,1966798192093611392,324.287132,42.28826,10100.7,75.81,0.065,0.826,0.108,3.843,B9.5 IV  Si,good,10100.7¡À75.81,0.826¡À0.065,3.843¡À0.108
840302042,J063916.90-021526.6,80.58,STAR,A1,-9999,99.819362,-2.257404,10106.6,57.2,0.048,0.489,0.08,3.593,B9 V  Si,vgood,10106.6¡À57.2,0.489¡À0.048,3.593¡À0.08
855012154,J005238.53+720835.9,55.3,STAR,A1,536658023360807936,13.160578,72.143332,10112.7,41.54,0.036,0.456,0.059,3.546,B9.5 IV  Si,vgood,10112.7¡À41.54,0.456¡À0.036,3.546¡À0.059
966715187,J061143.45+234849.9,65.66,STAR,A1,3425439179674073344,92.931048,23.813869,10178.9,62.03,0.053,0.604,0.088,3.615,B9 IV-V  Si,good,10178.9¡À62.03,0.604¡À0.053,3.615¡À0.088
1048007089,J055253.62+191323.5,237.64,STAR,A1,3398846769402202112,88.2234367,19.2232131,10189.5,45.68,0.026,0.421,0.056,3.548,B9 IV-V  Si,vgood,10189.5¡À45.68,0.421¡À0.026,3.548¡À0.056
855311218,J231551.45+455315.8,185.75,STAR,A1,1941114528175758592,348.964404,45.887741,10199.5,47.72,0.032,0.319,0.061,3.527,B9 V  Si,vgood,10199.5¡À47.72,0.319¡À0.032,3.527¡À0.061
426115133,J055839.36+465833.5,193.43,STAR,A1,197856434520531328,89.6640361,46.9759828,10204.4,74.64,0.048,0.633,0.095,3.917,A1 III-IV  SrSiEu,vgood,10204.4¡À74.64,0.633¡À0.048,3.917¡À0.095
