DESIG,OBSID,RA,DEC,SN/g,SUBCLASS
LAMOST J004723.31+363647.6,468712204,11.847141,36.613224,70.28,M
LAMOST J155100.23+003544.8,51412138,237.75099,0.595804,54.04,K
LAMOST J062508.32+180812.1,431601245,96.284693,18.136696,86.58,A
LAMOST J063807.42+022441.9,385404206,99.530936,2.411647,102.22,A
LAMOST J062734.35+254748.6,189505033,96.893161,25.796851,72.27,Ap
LAMOST J114425.89+060325.7,409204132,176.107883,6.057142,62.36,M
LAMOST J102730.04-035102.5,432914190,156.875179,-3.850699,73.85,M
LAMOST J060852.98+221350.1,486305245,92.220762,22.230591,359.52,Ap
LAMOST J162225.39+373637.4,50503160,245.605813,37.610398,57.11,K
LAMOST J161450.37+363620.6,50510177,243.709275,36.606603,69.32,K
LAMOST J043047.05+384658.0,296911049,67.696079,38.782799,103.62,B
LAMOST J050635.28+401330.8,405709185,76.647007,40.225247,60.01,A
LAMOST J053028.10+175848.1,393314136,82.617088,17.980048,218.38,Ap
LAMOST J051617.03+285018.6,15510238,79.070993,28.838514,59.54,G
LAMOST J064059.45+291937.5,2603139,100.24773,29.32711,52.36,F
LAMOST J030138.18+021005.8,483013065,45.408192,2.168283,526.11,A
LAMOST J080231.53+392228.7,279209235,120.63138,39.374639,67.15,B
LAMOST J053445.96+225408.2,195114074,83.69151,22.902281,57.13,Ap
LAMOST J231855.23+194642.5,384709247,349.730155,19.778497,83.11,M
LAMOST J080337.21+173437.9,18802105,120.905058,17.577222,72.53,G
LAMOST J004154.86+251056.1,55601215,10.478607,25.182262,56.27,K
LAMOST J061754.06+242430.4,631112175,94.475254,24.408469,97.23,Ap
LAMOST J064142.55+253224.4,601607064,100.42733,25.540113,158.32,Ap
LAMOST J115325.34+570443.9,49608128,178.35561,57.078884,144.2,K
LAMOST J042924.01+441722.0,420304193,67.350069,44.289464,60.79,A
LAMOST J232622.83+302124.5,710047,351.595134,30.356821,59.42,F
LAMOST J003417.02+425820.1,472307114,8.570938,42.972277,69.42,M
LAMOST J233512.24+324954.5,715043,353.801037,32.831825,54.3,F
LAMOST J003646.76+291101.2,55616168,9.19485,29.18369,243.13,K
LAMOST J224053.80+292415.2,1201151,340.224202,29.404224,69.75,F
LAMOST J062221.67+234517.6,486813014,95.590308,23.754889,146.05,M
LAMOST J095210.62+323037.5,18615150,148.044263,32.510433,54.98,G
LAMOST J061119.33+330416.0,312908119,92.830579,33.071133,93.2,B
LAMOST J212018.03+193503.6,372004199,320.075164,19.584349,52.64,M
LAMOST J033719.99+175532.0,418202078,54.33331,17.925571,50.44,M
LAMOST J004447.01+584413.4,469316160,11.195914,58.737058,177.9,Ap
LAMOST J015141.03+013826.1,18705164,27.920974,1.640611,77.17,G
LAMOST J020147.51+082047.5,55704037,30.447984,8.346549,52.01,K
LAMOST J011949.84+195619.8,470115151,19.957703,19.938839,111.55,M
LAMOST J015227.47+032636.4,18715176,28.114471,3.443466,76.01,G
LAMOST J154859.15+542030.9,53112074,237.24648,54.341942,112.84,K
LAMOST J061018.97+265353.6,36310015,92.579048,26.898239,190.98,Ap
LAMOST J063803.37+283747.6,2603080,99.514075,28.629891,85,F
LAMOST J095544.03+292808.0,18601195,148.933485,29.468912,82.24,G
LAMOST J062319.45+243004.7,201715247,95.831063,24.501319,78.86,Ap
LAMOST J095049.94+312043.6,18604200,147.706936,31.345446,58.6,G
LAMOST J155047.16+292034.2,51004030,237.69652,29.342848,64.01,K
LAMOST J143215.64+281515.4,49702132,218.06517,28.254301,60.6,K
LAMOST J132644.01+132514.2,407110161,201.683376,13.42062,56.69,M
LAMOST J025454.00-024110.0,18105132,43.72504,-2.686134,75.59,G
LAMOST J192014.74+371438.1,52502005,290.061442,37.243928,104.1,K
LAMOST J230317.21+582339.9,275015044,345.821716,58.394418,120.54,B
LAMOST J025209.13+002016.6,214006,43.03807,0.33797,69.74,F
LAMOST J064716.61+015101.4,368902165,101.819213,1.850406,51.17,B
LAMOST J065543.44+112433.7,392003012,103.93104,11.409371,70.68,Ap
LAMOST J063110.52+175651.8,435515140,97.793842,17.94773,176.98,A
LAMOST J041812.82+522411.7,379016167,64.553648,52.4025,325.17,B
LAMOST J064816.72+041603.1,368914132,102.069681,4.267536,85.61,Ap
LAMOST J021421.59+572431.3,15305143,33.5907,57.4081,85.61,G
LAMOST J004125.97+350223.5,15810243,10.358238,35.039868,63.9,G
LAMOST J004939.27+261243.4,55607084,12.41365,26.21208,54.02,K
LAMOST J091231.47+274030.8,15903059,138.129613,27.67524,216.32,G
LAMOST J010612.55+015701.5,55108139,16.55231,1.95043,119.88,K
LAMOST J063208.38+214216.1,428006104,98.03475,21.7051,531.31,A
LAMOST J100248.16+080809.6,447412043,150.700694,8.136018,53.11,M
LAMOST J170023.97+154528.7,51210021,255.09923,15.757995,64.04,K
LAMOST J170252.81+161810.3,51203075,255.720045,16.302886,65.27,K
LAMOST J050142.30+433837.7,363105109,75.426291,43.643811,74.82,B
LAMOST J063943.93-001729.8,265714161,99.933068,-0.291624,82.66,B
LAMOST J055731.87+452850.4,426104145,89.382799,45.480693,71.64,A
LAMOST J021535.55+544904.3,380813077,33.89815,54.817865,101.64,Ap
LAMOST J115034.87+564400.6,49608217,177.64533,56.733513,83.01,K
LAMOST J170318.48+155959.8,51203093,255.826592,16.000419,83.55,K
LAMOST J061021.34+124422.4,641205160,92.58895,12.739572,102.89,Ap
LAMOST J093957.65+320547.9,14016140,144.99021,32.096657,53.92,G
